model,target_label_ratio,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,bus_f1_mean,bus_f1_std,car_f1_mean,car_f1_std,truck_f1_mean,truck_f1_std
efficientnet_b0,0.0,0.7850999999999999,0.01994968671433209,0.7836,0.020166556473528163,0.7868666666666666,0.02961795626530187,0.8370000000000001,0.019490767044936942,0.7269666666666668,0.012606479815290788
efficientnet_b0,0.05,0.7901333333333334,0.014329107904309102,0.7888333333333334,0.013807365184325817,0.7706333333333334,0.019663248290486865,0.8655666666666666,0.001258305739211767,0.7301666666666667,0.026503081581833763
efficientnet_b0,0.1,0.7992666666666667,0.00703159536188863,0.7971333333333334,0.006823733093646991,0.7927666666666667,0.010284616343516805,0.8639333333333333,0.005923118547972292,0.7347333333333333,0.00630581741991738
efficientnet_b0,0.25,0.8052,0.011762652762026114,0.8035333333333333,0.012073248665265447,0.7936,0.013168523075880621,0.8707666666666666,0.006940701213374162,0.7461666666666668,0.021703071979176907
efficientnet_b0,0.5,0.8180333333333333,0.00962929557825149,0.8166666666666668,0.010040584312346256,0.8068666666666666,0.012653194590036655,0.8789333333333333,0.005182984982935366,0.7641333333333332,0.016082392027721867
efficientnet_b0,0.75,0.8262333333333333,0.005676559991168328,0.8253,0.0066775744099186055,0.8170999999999999,0.016726924403488004,0.8910666666666667,0.005350077881053039,0.7677333333333333,0.00897459376982229
efficientnet_b0,1.0,0.8285,0.0040999999999999925,0.8275,0.005168171823768995,0.8175666666666667,0.01495136560095206,0.8923666666666668,0.004104063027456292,0.7726333333333333,0.00562257355072683
